Validation_Set,Topics,Alpha,Beta,Coherence_(c_v),Coherence_(u_mass)
75% Corpus,6,symmetric,symmetric,0.7128886072317879,0.7128886072317879
75% Corpus,6,asymmetric,0.01,0.565986414475653,0.565986414475653
75% Corpus,6,asymmetric,0.31,0.5305989730278787,0.5305989730278787
75% Corpus,6,asymmetric,0.61,0.5143387083323677,0.5143387083323677
75% Corpus,6,asymmetric,0.9099999999999999,0.5142218416514813,0.5142218416514813
75% Corpus,6,asymmetric,symmetric,0.5494040086193731,0.5494040086193731
75% Corpus,7,0.01,0.01,0.6943070486866686,0.6943070486866686
75% Corpus,7,0.01,0.31,0.6875376031028912,0.6875376031028912
75% Corpus,7,0.01,0.61,0.6835474033232399,0.6835474033232399
75% Corpus,7,0.01,0.9099999999999999,0.6821914183528717,0.6821914183528717
75% Corpus,7,0.01,symmetric,0.690098341892399,0.690098341892399
75% Corpus,7,0.31,0.01,0.6935154197622956,0.6935154197622956
75% Corpus,7,0.31,0.31,0.7002635875771975,0.7002635875771975
75% Corpus,7,0.31,0.61,0.6871698500624246,0.6871698500624246
75% Corpus,7,0.31,0.9099999999999999,0.6830207607444093,0.6830207607444093
75% Corpus,7,0.31,symmetric,0.6940146442073453,0.6940146442073453
75% Corpus,7,0.61,0.01,0.7060625595072583,0.7060625595072583
75% Corpus,7,0.61,0.31,0.6943080672020592,0.6943080672020592
75% Corpus,7,0.61,0.61,0.658620113643274,0.658620113643274
75% Corpus,7,0.61,0.9099999999999999,0.6563341748506993,0.6563341748506993
75% Corpus,7,0.61,symmetric,0.6999373519866846,0.6999373519866846
75% Corpus,7,0.9099999999999999,0.01,0.7188310294074061,0.7188310294074061
75% Corpus,7,0.9099999999999999,0.31,0.6699633288765406,0.6699633288765406
75% Corpus,7,0.9099999999999999,0.61,0.6441116023013774,0.6441116023013774
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.695230434492798,0.695230434492798
75% Corpus,7,0.9099999999999999,symmetric,0.7017842960568481,0.7017842960568481
75% Corpus,7,symmetric,0.01,0.7019575516993672,0.7019575516993672
75% Corpus,7,symmetric,0.31,0.7026170622088971,0.7026170622088971
75% Corpus,7,symmetric,0.61,0.702804282773327,0.702804282773327
75% Corpus,7,symmetric,0.9099999999999999,0.7012080192555914,0.7012080192555914
75% Corpus,7,symmetric,symmetric,0.7026170622088971,0.7026170622088971
75% Corpus,7,asymmetric,0.01,0.5847220908046801,0.5847220908046801
75% Corpus,7,asymmetric,0.31,0.5573446054239837,0.5573446054239837
75% Corpus,7,asymmetric,0.61,0.5478622310818723,0.5478622310818723
75% Corpus,7,asymmetric,0.9099999999999999,0.5434911965494028,0.5434911965494028
75% Corpus,7,asymmetric,symmetric,0.5807445429053609,0.5807445429053609
75% Corpus,8,0.01,0.01,0.712640837640667,0.712640837640667
75% Corpus,8,0.01,0.31,0.7037237644943817,0.7037237644943817
75% Corpus,8,0.01,0.61,0.7054107520694501,0.7054107520694501
75% Corpus,8,0.01,0.9099999999999999,0.7015205700481542,0.7015205700481542
75% Corpus,8,0.01,symmetric,0.7078026572078878,0.7078026572078878
75% Corpus,8,0.31,0.01,0.696365752466962,0.696365752466962
75% Corpus,8,0.31,0.31,0.6995961203238206,0.6995961203238206
75% Corpus,8,0.31,0.61,0.6959670130933182,0.6959670130933182
75% Corpus,8,0.31,0.9099999999999999,0.6894509362734009,0.6894509362734009
75% Corpus,8,0.31,symmetric,0.6998990520990427,0.6998990520990427
75% Corpus,8,0.61,0.01,0.7109937719639192,0.7109937719639192
75% Corpus,8,0.61,0.31,0.6881074645992726,0.6881074645992726
75% Corpus,8,0.61,0.61,0.6512351052905566,0.6512351052905566
75% Corpus,8,0.61,0.9099999999999999,0.6400139029917638,0.6400139029917638
75% Corpus,8,0.61,symmetric,0.7042994819368837,0.7042994819368837
75% Corpus,8,0.9099999999999999,0.01,0.7263910909368367,0.7263910909368367
75% Corpus,8,0.9099999999999999,0.31,0.6644018241364716,0.6644018241364716
75% Corpus,8,0.9099999999999999,0.61,0.6502178716904059,0.6502178716904059
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.7014323877221396,0.7014323877221396
75% Corpus,8,0.9099999999999999,symmetric,0.7041577400993664,0.7041577400993664
75% Corpus,8,symmetric,0.01,0.710133509691064,0.710133509691064
75% Corpus,8,symmetric,0.31,0.7049993792866553,0.7049993792866553
75% Corpus,8,symmetric,0.61,0.703007652846727,0.703007652846727
75% Corpus,8,symmetric,0.9099999999999999,0.705615576404403,0.705615576404403
75% Corpus,8,symmetric,symmetric,0.7066281349272061,0.7066281349272061
75% Corpus,8,asymmetric,0.01,0.5811108621438368,0.5811108621438368
75% Corpus,8,asymmetric,0.31,0.5659173340692405,0.5659173340692405
75% Corpus,8,asymmetric,0.61,0.5235359870452125,0.5235359870452125
75% Corpus,8,asymmetric,0.9099999999999999,0.5158908740430477,0.5158908740430477
75% Corpus,8,asymmetric,symmetric,0.5737219122946134,0.5737219122946134
75% Corpus,9,0.01,0.01,0.7120927570549469,0.7120927570549469
75% Corpus,9,0.01,0.31,0.692935732347665,0.692935732347665
75% Corpus,9,0.01,0.61,0.6859980624777762,0.6859980624777762
75% Corpus,9,0.01,0.9099999999999999,0.6889134763668585,0.6889134763668585
75% Corpus,9,0.01,symmetric,0.6959930235240903,0.6959930235240903
